date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:24:31	341936/341936	---MCZ	200	added ('OK')	text/html	etag:W/%2263bba9d6-537b0%22	https://htmldemo.net/autima/autima/index-2.html	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/index-2.html	(from )
21:24:32	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202024%2014:24:33%20GMT	https://htmldemo.net/robots.txt		(from )
21:24:32	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263bbaa2c-47e%22	https://htmldemo.net/autima/autima/assets/img/favicon.ico	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/img/favicon.ico	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:32	194859/194859	---MCZ	200	added ('OK')	text/css	etag:W/%2263bba9f6-2f92b%22	https://htmldemo.net/autima/autima/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/css/bootstrap.min.css	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:32	3405/3405	---MCZ	200	added ('OK')	text/css	etag:W/%2263bba9fa-d4d%22	https://htmldemo.net/autima/autima/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/css/owl.carousel.min.css	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:32	1556/1556	---MCZ	200	added ('OK')	text/css	etag:W/%2263bba9fb-614%22	https://htmldemo.net/autima/autima/assets/css/slick.css	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/css/slick.css	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:33	5666/5666	---MCZ	200	added ('OK')	text/css	etag:W/%2263bba9fa-1622%22	https://htmldemo.net/autima/autima/assets/css/magnific-popup.css	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/css/magnific-popup.css	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:33	30896/30896	---MCZ	200	added ('OK')	text/css	etag:W/%2263bba9f6-78b0%22	https://htmldemo.net/autima/autima/assets/css/font.awesome.css	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/css/font.awesome.css	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:33	51315/51315	---MCZ	200	added ('OK')	text/css	etag:W/%2263bba9f8-c873%22	https://htmldemo.net/autima/autima/assets/css/ionicons.min.css	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/css/ionicons.min.css	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:33	75626/75626	---MCZ	200	added ('OK')	text/css	etag:W/%2263bba9f4-1276a%22	https://htmldemo.net/autima/autima/assets/css/animate.css	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/css/animate.css	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:34	21334/21334	---MCZ	200	added ('OK')	text/css	etag:W/%2263bba9f8-5356%22	https://htmldemo.net/autima/autima/assets/css/jquery-ui.min.css	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/css/jquery-ui.min.css	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:34	2565/2565	---MCZ	200	added ('OK')	text/css	etag:W/%2263bba9fd-a05%22	https://htmldemo.net/autima/autima/assets/css/slinky.menu.css	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/css/slinky.menu.css	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:34	20471/20471	---MCZ	200	added ('OK')	text/css	etag:W/%2263bba9fb-4ff7%22	https://htmldemo.net/autima/autima/assets/css/plugins.css	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/css/plugins.css	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:35	209131/209131	---MCZ	200	added ('OK')	text/css	etag:W/%2263bba9fe-330eb%22	https://htmldemo.net/autima/autima/assets/css/style.css	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/css/style.css	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:35	8601/8601	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263bbab21-2199%22	https://htmldemo.net/autima/autima/assets/js/vendor/modernizr-3.7.1.min.js	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/assets/js/vendor/modernizr-3.7.1.min.js	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:35	50563/50563	---MCZ	200	added ('OK')	text/html	etag:W/%2263bba9d0-c583%22	https://htmldemo.net/autima/autima/checkout.html	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/checkout.html	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:35	43578/43578	---MCZ	200	added ('OK')	text/html	etag:W/%2263bba9e0-aa3a%22	https://htmldemo.net/autima/autima/my-account.html	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/my-account.html	(from https://htmldemo.net/autima/autima/index-2.html)
21:24:36	39677/39677	---MCZ	200	added ('OK')	text/html	etag:W/%2263bba9cf-9afd%22	https://htmldemo.net/autima/autima/cart.html	C:/My%20Web%20Sites/layout-viet/htmldemo.net/autima/autima/cart.html	(from https://htmldemo.net/autima/autima/index-2.html)
